"Name","data.data_fold_id","data.features_to_keep","test_AP"
"models.SwinUnetLightning","11","None","0.3416624367237091"
"models.SwinUnetLightning","11","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.35929030179977417"
"models.SwinUnetLightning","10","None","0.1983795315027237"
"models.SwinUnetLightning","10","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.22652216255664823"
"models.SwinUnetLightning","9","None","0.3367212116718292"
"models.SwinUnetLightning","9","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3610083758831024"
"models.SwinUnetLightning","8","None","0.3584368824958801"
"models.SwinUnetLightning","8","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3721093535423279"
"models.SwinUnetLightning","7","None","0.3585681915283203"
"models.SwinUnetLightning","7","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.367553174495697"
"models.SwinUnetLightning","6","None","0.48347243666648865"
"models.SwinUnetLightning","6","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.4850941300392151"
"models.SwinUnetLightning","5","None","0.2095494270324707"
"models.SwinUnetLightning","5","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.235853374004364"
"models.SwinUnetLightning","4","None","0.360975980758667"
"models.SwinUnetLightning","4","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3638286590576172"
"models.SwinUnetLightning","3","None","0.2132578194141388"
"models.SwinUnetLightning","3","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.22085963189601895"
"models.SwinUnetLightning","2","None","0.477971225976944"
"models.SwinUnetLightning","2","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.4742560386657715"
"models.SwinUnetLightning","1","None","0.3356708884239197"
"models.SwinUnetLightning","1","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3323087692260742"
"models.SwinUnetLightning","0","None","0.4034593105316162"
"models.SwinUnetLightning","0","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.42154034972190857"
