"Name","data.data_fold_id","data.features_to_keep","test_AP"
"models.SwinUnetLightning","11","None","0.28452208638191223"
"models.SwinUnetLightning","11","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3770567178726196"
"models.SwinUnetLightning","10","None","0.1704426109790802"
"models.SwinUnetLightning","10","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.25039759278297424"
"models.SwinUnetLightning","9","None","0.3218086063861847"
"models.SwinUnetLightning","9","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.36122334003448486"
"models.SwinUnetLightning","8","None","0.3557423949241638"
"models.SwinUnetLightning","8","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3940380811691284"
"models.SwinUnetLightning","7","None","0.36837953329086304"
"models.SwinUnetLightning","7","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.384885311126709"
"models.SwinUnetLightning","6","None","0.474353551864624"
"models.SwinUnetLightning","6","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.4818020164966583"
"models.SwinUnetLightning","5","None","0.20870791375637057"
"models.SwinUnetLightning","5","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.23043429851531985"
"models.SwinUnetLightning","4","None","0.37075483798980713"
"models.SwinUnetLightning","4","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.37896597385406494"
"models.SwinUnetLightning","3","None","0.24178877472877505"
"models.SwinUnetLightning","3","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.23856531083583832"
"models.SwinUnetLightning","2","None","0.4898320436477661"
"models.SwinUnetLightning","2","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.4847550690174103"
"models.SwinUnetLightning","1","None","0.2670758068561554"
"models.SwinUnetLightning","1","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.2986358404159546"
"models.SwinUnetLightning","0","None","0.3340337574481964"
"models.SwinUnetLightning","0","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.31807857751846313"
