"Name","data.data_fold_id","data.features_to_keep","test_AP"
"models.SMPModel","11","None","0.33889004588127136"
"models.SMPModel","11","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3524470627307892"
"models.SMPModel","10","None","0.22730135917663577"
"models.SMPModel","10","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.25521236658096313"
"models.SMPModel","9","None","0.3366103768348694"
"models.SMPModel","9","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.36854928731918335"
"models.SMPModel","8","None","0.3620168566703797"
"models.SMPModel","8","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.38125014305114746"
"models.SMPModel","7","None","0.3499549925327301"
"models.SMPModel","7","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3686549365520478"
"models.SMPModel","6","None","0.47369855642318726"
"models.SMPModel","6","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.448481172323227"
"models.SMPModel","5","None","0.2076241672039032"
"models.SMPModel","5","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.25058162212371826"
"models.SMPModel","4","None","0.32684004306793213"
"models.SMPModel","4","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.3312731683254242"
"models.SMPModel","3","None","0.2243589013814926"
"models.SMPModel","3","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.2455076575279236"
"models.SMPModel","2","None","0.469966322183609"
"models.SMPModel","2","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.4438022375106811"
"models.SMPModel","1","None","0.3107913136482239"
"models.SMPModel","1","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.31573233008384705"
"models.SMPModel","0","None","0.4126822054386139"
"models.SMPModel","0","[0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,38,39]","0.4381239712238312"
