"Name","data.data_fold_id","optimizer.lr","test_AP"
"models.SwinUnetLightning","11","0.01","0.01156899891793728"
"models.SwinUnetLightning","11","0.001","0.19935350120067596"
"models.SwinUnetLightning","10","0.01","0.003804690903052688"
"models.SwinUnetLightning","10","0.001","0.1142851784825325"
"models.SwinUnetLightning","9","0.01","0.11604610085487366"
"models.SwinUnetLightning","9","0.001","0.2985137104988098"
"models.SwinUnetLightning","8","0.01","0.11083591729402542"
"models.SwinUnetLightning","8","0.001","0.2948566675186157"
"models.SwinUnetLightning","7","0.01","0.007579646538943052"
"models.SwinUnetLightning","7","0.001","0.21284663677215576"
"models.SwinUnetLightning","6","0.01","0.012258941307663918"
"models.SwinUnetLightning","6","0.001","0.2799276113510132"
"models.SwinUnetLightning","5","0.01","0.00869690254330635"
"models.SwinUnetLightning","5","0.001","0.1205189898610115"
"models.SwinUnetLightning","4","0.01","0.020091433078050613"
"models.SwinUnetLightning","4","0.001","0.19872647523880005"
"models.SwinUnetLightning","3","0.01","0.003450198331847787"
"models.SwinUnetLightning","3","0.001","0.11402332037687302"
"models.SwinUnetLightning","2","0.01","0.03416277468204498"
"models.SwinUnetLightning","2","0.001","0.2500724196434021"
"models.SwinUnetLightning","1","0.01","0.010197102092206478"
"models.SwinUnetLightning","1","0.001","0.13346759974956512"
"models.SwinUnetLightning","0","0.01","0.011089575476944448"
"models.SwinUnetLightning","0","0.001","0.16667963564395905"
